PLAN DE IMPLEMENTACIÓN — Integración Entra ID / OAuth 2.0 — Miharu+ Desktop DDO,,,,,,,,
,,,,,,,,
ACTIVIDADES DE DESARROLLO,,,,,,,,
,,,,,,,,
#,Actividad,Entregable,Responsable,Estado,Horas estimadas,Fecha estimada,Bloqueante,Notas
1,Scripts SQL — TBL_Usuario_EntraID + TBL_EntraID_Rol_Perfil,2 archivos .sql listos para ejecutar,Desarrollo,Completado,2,09/03/2026,,Pendiente ejecutar en DESDBCANJE\DDO — DB_Miharu.Security_Core
2,Modelo de configuración EntraIDConfig.cs,Clase POCO con parámetros OAuth,Desarrollo,Completado,1,09/03/2026,,En Miharu.Security.Library
3,Wrapper MSAL.NET — EntraIDAuthService.cs,Flujo OAuth interactivo + silencioso,Desarrollo,Completado,3,10/03/2026,,NuGet Microsoft.Identity.Client en instalación
4,Lógica JIT — JITProvisioningService.cs,Búsqueda / vinculación / actualización de acceso en BD,Desarrollo,Completado,4,10/03/2026,,En Miharu.Security.DataAccess — solo toca tablas nuevas
5,ValidateEntraIDUser() en SecurityService.asmx.cs,Nuevo método ASMX que recibe token — ejecuta JIT — retorna sesión,Desarrollo,En curso,6,12/03/2026,,
6,Cliente wrapper — ValidateEntraIDUser() en SecurityWebService.cs,Método cliente que conecta Library con WebService,Desarrollo,Pendiente,3,12/03/2026,,Depende del paso 5
7,UI — botón Acceso Corporativo en FormLogin.vb + IniciarSesionEntraID() en Program.vb,Flujo de login corporativo visible al usuario,Desarrollo,Pendiente,6,13/03/2026,,Depende del paso 6
8,App.config — parámetros Entra ID,Configuración TenantId / ClientId / Authority / Scopes / RedirectUri,Desarrollo,Pendiente,1,13/03/2026,,TenantId y ClientId confirmados por banco
,TOTAL DESARROLLO,,,,,,,26 horas
,,,,,,,,
ACTIVIDADES DE INFRAESTRUCTURA / BD,,,,,,,,
,,,,,,,,
#,Actividad,Entregable,Responsable,Estado,Horas estimadas,Fecha estimada,Bloqueante,Notas
